stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
18009,,METRO AQUILES SERDÁN_1_3,Rosario Puerto Aereo,19.49089803,-99.19525623,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17831,,JUVENTINO ROSAS,San Felipe Metro Hidalgo,19.45755305,-99.12918156,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
15138,,JOSÉ ANTONIO TORRES_1_2,,19.41200123,-99.13265997,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
17860,,CUAUHTÉMOC (SECUNDARIA TÉCNICA # 9 ),San Felipe Metro Hidalgo,19.48026542,-99.11508389,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
17971,,DVO. FRANCISCO ZARCO,Rosario Puerto Aereo,19.46045199,-99.09587502,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17794,,EDO. DE SINALOA,San Felipe Metro Hidalgo,19.4821638,-99.07370411,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18177,,EDIF. CENTRAL DE INTELIGENCIA DE CÓMPUTO,Circuitio Politecnico,19.50494108,-99.14218272,Terminal Zacatenco,STE,Circuito Politécnico
15098,,DEL TALLER,,19.41353917,-99.12126517,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
18043,,GUIPÚZCOA,EJE Central,19.38847924,-99.14681363,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18193,,FTE. CANCHA DE ENTRENAMIENTO PIELES ROJAS,Circuitio Politecnico,19.50412851,-99.13951844,Terminal Zacatenco,STE,Circuito Politécnico
18180,,FTE. VIP´S TORRES LINDAVISTA,Circuitio Politecnico,19.50641246,-99.14641644,Terminal Zacatenco,STE,Circuito Politécnico
15076,,HUICHAPAN,,19.26412595,-99.11805507,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
17940,,CAIRO_1,Rosario Puerto Aereo,19.45435198,-99.09647584,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
15096,,CONGRESO DE LA UNIÓN_1_3,,19.40922962,-99.12133365,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
15089,,CD. JARDÍN,,19.33565784,-99.14186344,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
17962,,AV. DEL PEÑÓN_1_2,Rosario Puerto Aereo,19.43717732,-99.08619486,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
36102,,AMÉRICA_1_2,San Francisco,19.34367237,-99.15539861,San Francisco Culhuacán - Ciudad Universitaria,STE,San Francisco Culhuacán - Ciudad Universitaria
17826,,BASILISO ROMO ANGUIANO,San Felipe Metro Hidalgo,19.47052323,-99.12426405,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
17701,,AV. MARINA NACIONAL,Rosario Chapultepec,19.44753507,-99.18235246,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17879,,PUERTO DE TAMPICO_1,San Felipe Metro Hidalgo,19.47534193,-99.07881618,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
15079,,PERIFÉRICO_1,,19.2827581,-99.1397753,Tasqueña - Xochimilco,STE,Tasqueña - Xochimilco
18111,,EMILIANO ZAPATA_1,EJE Central,19.36576978,-99.15076375,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
17843,,EJE CENTRAL (M. GARIBALDI),San Felipe Metro Hidalgo,19.44353759,-99.13938872,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
18037,,EMILIANO ZAPATA,EJE Central,19.36583051,-99.15057063,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18017,,FRENTE A NISSAN,Rosario Puerto Aereo,19.50473341,-99.20643568,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17887,,EDO. OAXACA,San Felipe Metro Hidalgo,19.48478953,-99.07016944,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
17695,,EUCLIDES,Rosario Chapultepec,19.43490729,-99.18241189,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17961,,METRO TERMINAL AÉREA,Rosario Puerto Aereo,19.43408626,-99.08804195,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
17963,,MORELOS_1_5,Rosario Puerto Aereo,19.4398591,-99.08547912,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
15113,,ORIZABA_1_2,,19.41515527,-99.15878225,Metro Velódromo - Metro Chapultepec,STE,Corredor Cero Emisiones Eje 2 - 2a sur
18042,,RAMOS MILLÁN,EJE Central,19.38421067,-99.14729834,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
17785,,TERMINAL TEOLOYUCAN (San Felipe de Jesús),San Felipe Metro Hidalgo,19.49606038,-99.06508346,San Felipe de Jesús - Metro Hidalgo,STE,San Felipe de Jesús - Metro Hidalgo
18083,,ROSSINI,EJE Central,19.45754326,-99.13792397,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18134,,TAJÍN,EJE 7,19.36659918,-99.15801255,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
18143,,SUR 73,EJE 7,19.3629669,-99.13432931,Metro Mixcoac - San Andrés Tetepilco,STE,Corredor Cero Emisiones Eje 7 - 7A Sur
18114,,XICOTÉNCATL_1,EJE Central,19.35517743,-99.1525404,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18033,,XICOTÉNCATL,EJE Central,19.35487365,-99.1521743,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18087,,VIOLETA,EJE Central,19.43990678,-99.14006748,Central de Autobuses del Norte - Central de Autobuses del Sur,STE,Corredor Cero Emisiones Eje Central
18004,,ZARAGOZA_1_3,Rosario Puerto Aereo,19.48453619,-99.18637276,Metro Chapultepec - Metro El Rosario,STE,Metro El Rosario - Metro Chapultepec
17899,,ALFAREROS,Rosario Puerto Aereo,19.50854603,-99.20843124,Metro El Rosario - Metro Blvd. Puerto Aéreo,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
36072,,MELCHOR OCAMPO (MEGA COMERCIAL),San Francisco,19.34544392,-99.17174935,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
36073,,MOCTEZUMA_1_4,San Francisco,19.3449646,-99.16798411,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
18186,,METRO POLITÉCNICO (ORIENTE),Circuitio Politecnico,19.50027488,-99.14857266,Terminal Zacatenco,STE,Circuito Politécnico
17863,,CALZ. SAN JUAN DE ARAGÓN,San Felipe Metro Hidalgo,19.4840131,-99.11340403,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
17983,,BUEN TONO,Rosario Puerto Aereo,19.46917167,-99.12821174,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18048,,LÁZARO CÁRDENAS_1_2,EJE Central,19.4069575,-99.14457119,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
18041,,KIFF,EJE Central,19.38110359,-99.14767385,Central de Autobuses del Sur - Central de Autobuses del Norte,STE,Corredor Cero Emisiones Eje Central
17969,,AV. 506,Rosario Puerto Aereo,19.45794322,-99.09635782,Metro Blvd. Puerto Aéreo - Metro El Rosario,STE,Metro Blvd. Puerto Aéreo - Metro El Rosario
18208,,AV. 45 METROS,Circuitio Politecnico,19.49608676,-99.14073476,Terminal Zacatenco,STE,Circuito Politécnico
36094,,ESCUELA NAVAL MILITAR_1,San Francisco,19.33767934,-99.122504,San Francisco Culhuacán - Ciudad Universitaria,STE,San Francisco Culhuacán - Ciudad Universitaria
17886,,EDO. MORELOS,San Felipe Metro Hidalgo,19.48346408,-99.07067787,Metro Hidalgo - San Felipe de Jesús,STE,San Felipe de Jesús - Metro Hidalgo
15134,,EJE CENTRAL_1_6,,19.41425865,-99.14430431,Metro Chapultepec - Metro Velódromo,STE,Corredor Cero Emisiones Eje 2 - 2a sur
36066,,HERMANOS VÁZQUEZ,San Francisco,19.33935241,-99.18206112,Ciudad Universitaria - San Francisco Culhuacán,STE,San Francisco Culhuacán - Ciudad Universitaria
