stop_id,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,route_long
23110,Avenida Tamaulipas - San Luis,,19.36167039,-99.25016642,Metro Zapata - San Mateo Tlaltenango,RTP,Metro Zapata - San Mateo Tlaltenango
18344,Avenida Tecnológico - Maestro Lucio Tapia,,19.53892236,-99.14955139,Metro Potrero -  Colonia El Tepetatal (El Charco),RTP,Colonia El Tepetatal (El Charco) -  Metro Potrero
19294,Avenida Tenochtitlán - La Gallera,,19.25261939,-99.06966448,Villa Milpa Alta - Metro Tasqueña,RTP,Villa Milpa Alta - Metro Tasqueña
16996,Avenida Tláhuac - Anillo Periférico Canal De Garay,,19.31808909,-99.07496452,Metro Cuatro Caminos - Metro Constitución,RTP,Metro Cuatro Caminos - Metro Constitución de 1917 Expreso
30980,Avenida Tláhuac - Avenida 11_1,,19.32004316,-99.08434153,Metro Tasqueña - Mixquic,RTP,Mixquic - Metro Tasqueña
16968,Avenida Tláhuac - Benito Juárez,,19.29551943,-99.02025819,Santa Catarina -  Metro Universidad,RTP,Santa Catarina - Metro Universidad
19431,Avenida Tláhuac - Bodega Puma Abarrotero,,19.29793957,-99.02583718,Metro Tasqueña - Mixquic,RTP,Mixquic - Metro Tasqueña
18285,Avenida Tláhuac - Candelabro,,19.31069785,-99.06987906,Metro Constitución de 1917 - Santa Catarina,RTP,Santa Catarina - Metro Constitución de 1917
30984,Avenida Tláhuac - Emiliano Zapata_1_2,,19.32627982,-99.1006279,Metro Tasqueña - Mixquic,RTP,Mixquic - Metro Tasqueña
21330,Avenida Vasco De Quiroga - Entrada Universidad Ibero,,19.36816863,-99.26342726,Metro Tacubaya - Jesús del Monte (Cuajimalpa) Nocturno,RTP,Jesús del Monte (Cuajimalpa) - Metro Tacubaya (Noche Bus)
