Latitud,Longitud,Nombre,Línea
19.4814715,-99.11815882,La Villa - Basílica,Metro 6
19.44300109,-99.13107634,Lagunilla,Metro B
19.4875806,-99.13434863,Lindavista,Metro 6
19.322002,-99.096696,Lomas Estrella,Metro 12
19.35877546,-98.97670984,Los Reyes,Metro A
19.50096117,-99.04171586,Múzquiz,Metro B
19.4837675,-99.10599232,Martín Carrera_1,Metro Línea 4 correspondencia con línea 6.
19.48231101,-99.10554171,Martín Carrera_1_2,Metro Línea 6 correspondencia con línea 4.
19.42546738,-99.12541151,Merced,Metro 1
19.35744944,-99.12191391,Mexicaltzingo,Metro 12
19.34651696,-99.18053627,Miguel Ángel de Quevedo,Metro 3
19.46290002,-99.13051844,Misterios,Metro 5
19.37567873,-99.18686628,Mixcoac,Metro Línea 12 correspondencia con línea 7.
19.37625563,-99.18774605,Mixcoac_1,Metro Línea 7 correspondencia con línea 12.
19.40820499,-99.11285877,Mixhuca,Metro 9
19.426271,-99.109803,Moctezuma_1,Metro 1
19.438426,-99.11933,Morelos_1_2,Metro Línea B correspondencia con línea 4.
19.43973327,-99.11790133,Morelos_1_3,Metro Línea 4 correspondencia con línea B.
19.37938304,-99.13987398,Nativitas,Metro 2
19.472534,-99.054375,Nezahualcóyotl,Metro B
19.41946724,-99.15023804,Niños Héroes_1,Metro 3
19.29939771,-99.04621124,Nopalera,Metro 12
19.44424548,-99.1671896,Normal,Metro 2
19.48823803,-99.16249037,Norte 45_1,Metro 6
19.41301153,-99.14392948,Obrera,Metro 8
19.397486,-99.200669,Observatorio,Metro 1
19.44542916,-99.08690572,Oceanía,Metro Línea 5 correspondencia con línea B.
19.44572255,-99.08683062,Oceanía_1,Metro Línea B correspondencia con línea 5.
19.52084286,-99.03298259,Olímpica,Metro B
19.30328601,-99.05831337,Olivos,Metro 12
19.458219,-99.20294,Panteones,Metro 2
19.41528826,-99.07505035,Pantitlán,Metro Línea 5 correspondencia con líneas 1 9 y A.
19.4146103,-99.07262564,Pantitlán_1,Metro Línea A correspondencia con líneas 1 5 y 9.
19.41616858,-99.07434225,Pantitlán_1_2,Metro Línea 1 correspondencia con líneas 5 9 y A.
19.414885,-99.072516,Pantitlán_1_3,Metro Línea 9 correspondencia con líneas 1 5 y A.
19.37046623,-99.15766239,Parque de los Venados,Metro 12
19.40559422,-99.1784656,Patriotismo_1_2,Metro 9
19.37291562,-99.0172863,Peñón Viejo,Metro A
19.317492,-99.074719,Periférico Ote,Metro 12
19.42543703,-99.13303971,Pino Suárez_1,Metro Línea 2 correspondencia con línea 1.
19.42595305,-99.13268566,Pino Suárez_1_2,Metro Línea 1 correspondencia con línea 2.
19.52822456,-99.02979612,Plaza Aragón,Metro B
19.43337954,-99.19079304,Polanco,Metro 7
19.499964,-99.148806,Politécnico,Metro 5
19.45261196,-99.17546153,Popotla,Metro 2
19.36976784,-99.14130092,Portales,Metro 2
19.476413,-99.131748,Potrero_1_2,Metro 3
19.40697045,-99.08233523,Puebla,Metro 9
19.43628327,-99.10342813,R. Flores Magón,Metro B
19.49024062,-99.04635072,Río de los Remedios_1,Metro B
19.46911098,-99.18985963,Refinería,Metro 7
19.43880248,-99.15389657,Revolución_1,Metro 2
19.44048194,-99.09420133,Romero Rubio,Metro B
19.42720768,-99.14207339,Salto del Agua,Metro Línea 8 correspondencia con línea 1.
19.42698509,-99.14331794,Salto del Agua_1,Metro Línea 1 correspondencia con línea 8.
19.3272315,-99.10259128,San Andrés Tomatlán,Metro 12
19.38481791,-99.18661952,San Antonio,Metro 7
19.4159055,-99.13429499,San Antonio Abad,Metro 2
19.44185787,-99.16094542,San Cosme,Metro 2
19.44553033,-99.19160843,San Joaquín,Metro 7
19.43098165,-99.14116144,San Juan de Letrán,Metro 8
19.431822,-99.114463,San Lázaro_1_4,Metro Línea B correspondencia con línea 1.
19.43079953,-99.11457539,San Lázaro_1_5,Metro Línea 1 correspondencia con línea B.
19.39122414,-99.18572903,San Pedro de Los Pinos,Metro 7
19.40397512,-99.12136674,Santa Anita,Metro Línea 8 correspondencia con línea 4.
19.40425847,-99.12120581,Santa Anita_1,Metro Línea 4 correspondencia con líneas 8.
19.359804,-98.995894,Santa Marta,Metro A
19.42189565,-99.17074084,Sevilla,Metro 1
19.458383,-99.188501,Tacuba,Metro Línea 7 correspondencia con línea 2.
19.45913691,-99.18803573,Tacuba_1,Metro Línea 2 correspondencia con línea 7.
19.40213338,-99.18823957,Tacubaya_1,Metro Línea 1 correspondencia con línea 7 y línea 9.
19.40223457,-99.18664098,Tacubaya_1_2,Metro Línea 7 correspondencia con línea 1 y línea 9.
19.40192086,-99.18734908,Tacubaya_1_3,Metro Línea 9 correspondencia con línea 1 y línea 7.
19.47415847,-99.10779476,Talismán_1_2,Metro 4
19.34400644,-99.14105415,Tasqueña,Metro 2
19.51470467,-99.03568625,Tecnológico,Metro B
19.39072824,-99.04651165,Tepalcates_1,Metro A
19.44256606,-99.12323356,Tepito,Metro B
19.43380448,-99.08820391,Terminal Aérea,Metro 5
19.306124,-99.065867,Tezonco,Metro 12
19.49448847,-99.19593215,Tezozómoc,Metro 6
19.28680057,-99.01443243,Tláhuac,Metro 12
19.294555,-99.023829,Tlaltenco,Metro 12
19.45520174,-99.1430819,Tlatelolco_1,Metro 3
19.350327,-99.074808,UAM-I,Metro 8
19.32433595,-99.17407751,Universidad,Metro 3
19.45868169,-99.11988616,Valle Gómez,Metro 5
19.49031142,-99.15479779,Vallejo,Metro 6
19.40811392,-99.10283804,Velódromo,Metro 9
19.40074699,-99.13663387,Viaducto_1,Metro 2
19.4613523,-99.06114578,Villa de Aragón,Metro B
19.38746949,-99.13862944,Villa de Cortés,Metro 2
19.35376487,-99.17542934,Viveros,Metro 3
19.3950293,-99.13758874,Xola_1,Metro 2
19.432602,-99.131879,Zócalo,Metro 2
19.37073951,-99.1645503,Zapata,Metro Línea 3 correspondencia con línea 12.
19.3705472,-99.16540861,Zapata_1,Metro Línea 12 correspondencia con línea 3.
19.29639028,-99.03402328,Zapotitlán,Metro 12
19.41179726,-99.08322573,Zaragoza,Metro 1
